Blastocystis,,positive for Blastocystis (present in feces sample),,
Giardia,,positive for Giardia (present in feces sample),,
Trichuris,,positive for Trichuris (present in feces sample),,
Uncinaria,,positive for Uncinaria (present in feces sample),,
Strongyloides,,positive for Strongyloides (present in feces sample),,
Enterobius,,Positive for Enterobius (present in feces sample),,
Hymenolepis_nana,,Positive for Hymenolepis nana (present in feces sample),,
PESO,,Weight (kg),,
Talla,,height (centimeters),,
WAZ,,Weight for Age Z Score,,
waz_Desc,,Weight for Age Z Score Description,,
HAZ,,Height for Age Z Score,,
haz_Desc,,Height for Age Z Score Description,,
BAZ,,BMI for Age Z Score,,
baz_Desc,,BMI for Age Z Score Description,,
IMC_Form,,,,
HB,,hemoglobin,,
Anemia,,Anemia (classified according to age and sex),,
HTO %,,HTO%,,
EDA,,diarrhea,,
P.S,,Went to health post,,
Fecha_trat23,,Date of treatment 2023,,
